2 7 16 21 | randtype = flat, fair, biased(x)
3 | Now this is the story all about how
4 | My life got flipped, turned upside down
5 | And I'd like to take a minute just sit right there
7 | I'll tell you how I became the prince of a town called Bel-air
#comment lines ignored
8 | In west Philadelphia born and raised
9 | On the playground where I spent most of my days
10 | Chilling out, maxing, relaxing all cool
11 | And all shooting some b-ball outside of the school
12 | When a couple of guys, they were up to no good
13 | Started making trouble in my neighbourhood
14 | I got in one little fight and my mom got scared
16 | And said "You're moving with your auntie and uncle in Bel-air"
#comment lines ignored
17 | I whistled for a cab and when it came near the
18 | License plate said "fresh" and had a dice in the mirror
19 | If anything I could say that this cab was rare
21 | But I thought nah, forget it, yo homes to Bel-air!
#comment lines ignored
22 | I pulled up to a house about seven or eight
23 | And I yelled to the cabby "Yo, homes smell you later!"
24 | Looked at my kingdom I was finally there
ED | To sit on my throne as the prince of Bel-air


# info at end
#
# start | randtype | Opening text
# next | Text
# start + next refer to the next line number
